City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
205,Cap Malheureux,-19.9842,57.6142,80.01,82,99,10.0,MU,2021-01-16 19:47:07,overcast clouds
206,Souillac,-20.5167,57.5167,80.6,83,75,11.5,MU,2021-01-16 19:49:52,broken clouds
207,Antalaha,-14.9003,50.2788,75.99,85,26,4.65,MG,2021-01-16 19:47:11,scattered clouds
208,Abu Samrah,35.3029,37.1841,51.85,75,51,12.01,SY,2021-01-16 19:49:52,broken clouds
209,Djibo,14.1022,-1.6306,76.03,18,10,8.3,BF,2021-01-16 19:49:52,clear sky
210,Diffa,13.3154,12.6113,70.56,22,9,7.54,NE,2021-01-16 19:49:52,clear sky
211,Margate,51.3813,1.3862,44.01,92,100,1.99,GB,2021-01-16 19:49:52,overcast clouds
212,Kassala,15.451,36.4,70.39,58,0,9.06,SD,2021-01-16 19:49:52,clear sky
213,Mana,5.6592,-53.7767,80.51,74,8,12.01,GF,2021-01-16 19:49:52,clear sky
214,Valenca,-13.3703,-39.0731,79.9,71,0,7.31,BR,2021-01-16 19:49:52,clear sky
215,Djenne,13.9061,-4.5533,77.04,17,100,11.68,ML,2021-01-16 19:49:52,overcast clouds
216,Saint-Francois,46.4154,3.9054,32.0,93,90,8.05,FR,2021-01-16 19:49:52,moderate rain
217,Boa Vista,2.8197,-60.6733,89.6,48,75,6.91,BR,2021-01-16 19:49:52,broken clouds
218,Ejura,7.3856,-1.3562,84.9,22,16,3.49,GH,2021-01-16 19:49:53,few clouds
219,Aripuana,-9.1667,-60.6333,82.35,89,89,1.39,BR,2021-01-16 19:49:53,moderate rain
220,Cidreira,-30.1811,-50.2056,76.48,90,87,10.56,BR,2021-01-16 19:46:53,overcast clouds
221,Ajdabiya,30.7554,20.2263,58.95,61,1,19.26,LY,2021-01-16 19:49:53,clear sky
222,Asuncion,-25.3007,-57.6359,89.6,66,75,11.5,PY,2021-01-16 19:45:09,broken clouds
