City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Cradock,ZA,63.19,clear sky,-32.1642,25.6192,Die Hoekhuis
534,Dakar,SN,68.0,overcast clouds,14.6937,-17.4441,Novotel Dakar
536,Bondo,CD,78.08,broken clouds,3.8146,23.6866,
537,Omboue,GA,78.42,light rain,-1.5746,9.2618,Hotel Olako
539,Mouila,GA,74.98,light rain,-1.8685,11.0559,Hôtel du Lac Bleu
540,Santa Cruz De La Palma,ES,64.4,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
542,Le Port,RE,78.8,light rain,-20.9373,55.2919,Villa Maido
543,Nioki,CD,75.15,light rain,-2.7167,17.6833,
544,Jiwani,PK,68.67,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
545,Linhares,BR,79.97,overcast clouds,-19.3911,-40.0722,Hotel Conceição
546,Kasempa,ZM,64.98,overcast clouds,-13.4584,25.8338,Jipumpu Guest House
548,Manama,BH,64.4,clear sky,26.2154,50.5832,Al Safir Hotel & Tower
549,Atlantis,ZA,64.99,clear sky,-33.5667,18.4834,Sunrise Farm
551,Manoel Urbano,BR,79.68,moderate rain,-8.8389,-69.2597,Baixada Beira Rio
552,Boffa,GN,74.05,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
553,Hun,LY,52.18,clear sky,29.1268,15.9477,Alrwasi Hotel
555,Ribeira Brava,PT,55.99,broken clouds,32.65,-17.0667,Hotel do Campo
557,Bela,IN,50.52,scattered clouds,25.9333,81.9833,Raj Bhawan
558,Tabuk,PH,65.23,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
559,Esna,EG,59.0,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
560,Port Shepstone,ZA,73.58,overcast clouds,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
561,Boromo,BF,79.79,overcast clouds,11.75,-2.9333,Sama Camp
562,Kriel,ZA,71.01,few clouds,-26.2739,29.2253,In Him Guesthouse (Accomodation)
563,Domoni,KM,79.43,broken clouds,-12.2569,44.5319,Al Djadid
564,Waw,SS,77.16,scattered clouds,7.7029,27.9953,Universal Gab Hotel
566,Sal Rei,CV,71.6,clear sky,16.1833,-22.9167,Marine Club Beach Resort
567,Oum Hadjer,TD,73.98,clear sky,13.2954,19.6966,
568,Corpus Christi,US,62.6,haze,27.8006,-97.3964,Holiday Inn Corpus Christi Downtown Marina
569,Dakoro,NE,73.0,scattered clouds,14.5106,6.765,Shagon mai liverpool
570,Moussoro,TD,74.77,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
571,Tikrit,IQ,54.81,broken clouds,34.6071,43.6782,فندق تكريت بلازا
572,Chimoio,MZ,75.2,moderate rain,-19.1164,33.4833,Predio Livraria Ahmed
574,Tshikapa,CD,72.12,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
576,Gaoua,BF,76.91,scattered clouds,10.2992,-3.2508,
578,Dubai,AE,66.2,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
582,Owando,CG,74.5,light rain,-0.4819,15.8999,Exaunel Hotel Owando
583,Abu Kamal,SY,55.71,clear sky,34.4506,40.9171,محطة التلفاز
